	Portugues	Українська	日本語	한국어	简体中文	繁體中文	UI language name
55	Estudio flat 1D - pequeno estudio flat com cozinha separada no apartamento	Квартира-студія 1D - невелика квартира-студія з окремою кухнею в апартаментах.	ワンルーム1D - 独立したキッチンの付いた小さなワンルームマンション	주방 원룸 - 별도의 공간에 주방이 있는 소형 원룸	单间公寓 1D——带独立厨房	單間公寓 1D——帶獨立廚房	UI
56	Apartamento 1DK - flat com uma cozinha larga no apartamento	Квартира 1Dk - квартира з великою кухнею в апартаментах	マンション1DK - ダイニングキッチン付き	주방 아파트 - 별도의 공간에 큰 주방이 있는 아파트	公寓 1DK——带大厨房	公寓 1DK——帶大廚房	UI
57	Apartamento 1LDK - flat com 1 quarto, sala de estar e todas as comodidades no apartamento	Квартира 1LDK - квартира з кімнатою, вітальнею і усіма зручностями в апартаментах	マンション1LDK - 居室1、 リビング、ダイニングキッチン付き	거실 아파트 - 별도의 공간에 방, 거실과 필수 가전이 있는 아파트	公寓 1LDK——一室一厅	公寓 1LDK——一室一廳	UI
58	Apartamento 2LDK - flat com 2 quartos, sala de estar e todas as comodidades no apartamento	Квартира 2LDK  - квартира з двома кімнатами, вітальнею і усіма зручностями в апартаментах	マンション2LDK - 居室2、 リビング、ダイニングキッチン付き	거실 투룸 아파트 - 별도의 공간에 방 2개, 거실과 필수 가전이 있는 아파트	公寓 2LDK——两室一厅	公寓 2LDK——兩室一廳	UI
59	Apartamento 3LDK - flat com 3 quartos, sala de estar e todas as comodidades no apartamento	Квартира 3LDK - квартира з трьома кімнатами, вітальнею і усіма зручностями в апартаментах	マンション3LDK - 居室3、リビング、ダイニングキッチン付き	거실 쓰리룸 아파트 - 별도의 공간에 방 3개, 거실과 필수 가전이 있는 아파트	公寓 3LDK——三室一厅	公寓 3LDK——三室一廳	UI
60	Casa 3LDK - casa separada com 3 quartos, sala de estar e todas as comodidades	Будинок 3LDK - приватний будинок з трьома кімнатами, вітальнею і усіма зручностями	戸建3LDK - 居室3、 リビング、ダイニングキッチン付き	거실 쓰리룸 주택 - 별도의 공간에 방 3개, 거실과 필수 가전이 있는 주택	住宅 3LDK——独栋三室一厅	住宅 3LDK——獨棟三室一廳	UI
61	Casa 4LDK - casa separada de 2 andares com quatro quartos, sala de estar e todas as comodidades	Двоповерховий будинок 4ldk - двоповерховий приватний будинок з чотирма кімнатами, вітальнею і усіма зручностями	戸建4LDK - 居室4、 リビング、ダイニングキッチン付きの2階建て	거실 포룸 주택 - 별도의 공간에 방 4개, 거실과 필수 가전이 있는 2층 주택	住宅 4LDK——两层四室一厅	住宅 4LDK——兩層四室一廳	UI
62	Mansao 5LDK - uma grande mansao no campo	Особняк 5ldk - великий маєток за містом	豪邸5LDK - 田舎の大きな邸宅	파이브룸 저택 - 교외의 대형 저택	豪宅 5LDK——乡间大豪宅	豪宅 5LDK——鄉間大豪宅	UI
63	Parabens, sua saude esta em boa forma!	Поздоровляю, ви здорові!	ご安心ください。健康状態は良好です！	축하합니다, 건강을 되찾았습니다!	恭喜您，您的健康状况良好！	恭喜您，您的健康狀況良好！	Doctor message
64	Falido	Банкрот	破産	파산	破产	破產	UI
65	O banco leiloou o seu carro <car_name>, entao voce recebeu {prpr}.	Банк виставив вашу машину <car_name> на аукціон, завдяки чому ви отримали {prpr}.	銀行があなたの車<car_name>を競売にかけたので、 あなたは{prpr}を受け取りました。	은행에서 진행한 차량 <car_name>의 경매로 {prpr}의 금액을 받았습니다.	银行拍卖了您的车辆 <car_name>，您获得了 {prpr}。	銀行拍賣了您的車輛 <car_name>，您獲得了 {prpr}。	UI
66	O banco leiloou a sua moradia <name_house>, entao voce recebeu {prpr}.	Банк виставив ваш будинок <name_house> на аукціон, завдяки чому ви отримали {prpr}.	銀行があなたの家<name_house>を競売にかけたので、 あなたは{prpr}を受け取りました。	은행에서 진행한 주택 <name_house>의 경매로 {prpr}의 금액을 받았습니다.	银行拍卖了您的房产 <name_house>，您获得了 {prpr}。	銀行拍賣了您的房產 <name_house>，您獲得了 {prpr}。	UI
67	Voce teve que vender todas as suas acoes da empresa <pepe2> por {iz} para pagar a divida.	Ви були вимушені продати усі свої акції компанії <pepe2> за {iz} щоб розплатитися з боргами.	借金返済のために<pepe2>社の全株式を{iz}で売却せざるを得ませんでした。	부채를 청산하고자 <pepe2> 주식을 {iz}에 전량 매각했습니다.	您不得不卖掉所持有的 <pepe2> 等所有公司的股票以换取 {iz} 来偿还债务。	您不得不賣掉所持有的 <pepe2> 等所有公司的股票以換取 {iz} 來償還債務。	UI
68	Voce nao podera pagar suas dividas. O jogo acabou.	Ви не зможете розплатитися з боргами. Гра закінчена.	借金の返済ができません。ゲームオーバーです。	부채를 감당할 수 없습니다. 게임은 끝났습니다.	您无法还清债务。游戏结束。	您無法還清債務。遊戲結束。	UI
69	Voce esta livre para ir. Bem vindo de volta a liberdade!	Ви вільні. З поверненням на волю!	あなたは自由の身です。 また自由になれて良かったですね。	구속에서 풀려나 다시 자유의 몸이 되었습니다.	你可以走了。欢迎重获自由！	你可以走了。歡迎重獲自由！	UI
70	Voce passou a noite fora. Voce tem pneumonia bilateral. Va para o hospital agora!	Ви ночували на вулиці і отримали двостороннє запалення легенів. Негайно до лікарні!	外で一晩過ごしたら、 両側性の肺炎にかかってしまいました。すぐに病院に行ってください！	밖에서 노숙을 하다가 폐렴에 걸렸습니다. 당장 병원으로 가세요!	您在外面过了一夜，染上了双侧肺炎。请立即去医院！	您在外面過了一夜，染上了雙側肺炎。請立即去醫院！	Doctor message
71	Amigo	Друг	友人	친구	朋友	朋友	UI
72	Oi, obrigado por me emprestar dinheiro! Vou te pagar de volta tudo e ate <momomo>% mais!	Привіт, спасибі за те, що позичив гроші! Повертаю тобі все і навіть на <momomo>% більше!	お金を貸してくれてありがとう！全額返して、その上<momomo>%分も払うよ！	안녕, 돈 빌려줘서 고마워! 이자까지 <momomo>% 쳐서 갚을게!	嗨，谢谢你借钱给我！我会多还 <momomo>% 给你！	嗨，謝謝你借錢給我！我會多還 <momomo>% 給你！	Friend message
73	O telefone esta tocando, voce quer atender?	Лунає дзвінок, чи хочете ви узяти трубку?	電話が鳴っていますが、出ますか？	전화가 울립니다. 받으시겠습니까?	电话响了，您要接吗？	電話響了，您要接嗎？	UI
74	Yakuza	Якудза	ヤクザ	야쿠자	极道	極道	UI
75	Voce nao pode simplesmente sair do negocio. Infelizmente, nao exigimos mais seus servicos. Adeus.	Не можна просто так вийти з бізнесу. На жаль, ми більше не потребуємо ваших послуг. Прощавайте.	勝手に商売から抜けてもらっては困りますな。残念だが、もうあんたのサービスは必要ないよ。失礼。	멋대로 일을 관두면 안 되지. 안타깝지만 더는 쓸모가 없겠군. 잘 가라고.	你以为想走就能走吗？别天真了。不过说实话，你也已经没什么利用价值了。再见。	你以為想走就能走嗎？別天真了。不過說實話，你也已經沒什麼利用價值了。再見。	Yakuza mesage
76	Noticias	Новини	ニュース	뉴스	新闻	新聞	UI
77	Famoso empresario <global.myname> foi encontrado morto em sua casa. Acredita-se que ele esteve envolvido e financiado pelo trafico de drogas.	Відомий бізнесмен <global.myname> був знайдений убитим у себе удома. Вважається, що він був пов'язаний з наркобізнесом і поплатився за це.	有名実業家の<global.myname>氏が自宅で死亡しているのが発見されました。麻薬ビジネスに関わり、高い代償を払わされたものとみられています。	유명 사업가 <global.myname> 씨가 자택에서 변사체로 발견되었습니다. 조사에 따르면 피해자는 마약 거래에 금전적으로 연루되었다고 합니다.	著名企业家 <global.myname> 被发现死于家中。据信，他参与了毒品生意，并为此付出了代价.	著名企業家 <global.myname> 被發現死於家中。據信，他參與了毒品生意，並為此付出了代價.	News
78	Eu nao vou esconder, eu vim para mata-lo. Mas estou de bom humor, por isso estou lhe dando a oportunidade de comprar uma vida pacifica.#O preco - {global.vykup}.#Voce aceita?	Не приховуватиму, я прийшов убити тебе. Але у мене гарний настрій, тому я даю тобі можливість купити собі мирне життя.# Я оцінив її у {global.vykup}.#Згода?	隠すつもりはない。あんたを殺しに来た。だが、今日は機嫌がいいから、あんたに平穏な暮らしを買うチャンスをやろう。値段は{global.vykup}だ。払うか？	돌려 말하진 않겠어. 난 널 죽이러 갈 거야. 하지만 마침 내가 기분이 좀 좋아서 그냥 목숨 값만 받는 선에서 그칠 수도 있겠는데.#딱 {global.vykup}만 받지.#어쩔래?	实不相瞒，我今天是来取你性命的。但我今天心情不错，所以给你一个机会，让你能花钱消灾。#只要——{global.vykup}。#你怎么说？	實不相瞞，我今天是來取你性命的。但我今天心情不錯，所以給你一個機會，讓你能花錢消災。#只要——{global.vykup}。#你怎麼說？	Yakuza mesage
79	Tribunal	Суд	裁判所	법정	法庭	法庭	UI
80	Hoje houve um julgamento do seu caso. Voce foi considerado inocente. E como vitima de circunstancias, voce so tera que pagar uma pequena multa - {shtraff}.	Сьогодні відбувся суд у вашій справі. Вас визнали безневинною жертвою обставин, тому лише зобов'язують виплатити невеликий штраф - {shtraff}.	今日は裁判がありました。 あなたは無罪となりました。境遇の犠牲者として、 わずかな罰金を支払うだけで済みます - {shtraff}。	오늘 재판에서는 무죄가 선고되었습니다. 또한 사건의 피해자라는 점이 참작되어 {shtraff}의 벌금만 부과되었습니다.	今天对您的案件进行了审判。您被判无罪。作为受害者，您只需支付小额罚款——{shtraff}。	今天對您的案件進行了審判。您被判無罪。作為受害者，您只需支付小額罰款——{shtraff}。	UI in-game message
81	Hoje houve um julgamento do seu caso. Voce foi considerado culpado e sentenciado a pagar uma multa - {shtraff}.	Сьогодні відбувся суд у вашій справі. Вас визнали винними і засудили до виплати штрафу - {shtraff}.	今日は裁判がありました。 あなたは有罪判決を受け、 罰金の支払いを言い渡されました - {shtraff}。	오늘 재판에서는 부분적 유죄가 선고되었습니다. {shtraff}의 벌금형이 내려졌습니다.	今天对您的案件进行了审判。您被判有罪，并处罚款——{shtraff}。	今天對您的案件進行了審判。您被判有罪，並處罰款——{shtraff}。	UI in-game message
82	Hoje houve um julgamento do seu caso. Voce foi considerado completamente culpado, entao todo o seu dinheiro sera confiscado e comecara a cumprir sua sentenca dentro de dois anos.	Сьогодні відбувся суд у вашій справі. Вас визнали повністю винними, тому усі ваші гроші вилучаються, а ви вирушаєте відбувати ув'язнення на два роки.	今日は裁判がありました。 あなたは完全に有罪となり、 所持金はすべて没収され、 2年間服役することになります。	오늘 재판에서는 완전한 유죄가 선고되었습니다. 전 재산이 몰수되며 2년 이하의 징역을 살게 됩니다.	今天对您的案件进行了审判。您被判为主犯。您的所有财产将被没收，并将在两年内开始服刑。	今天對您的案件進行了審判。您被判為主犯。您的所有財產將被沒收，並將在兩年內開始服刑。	UI in-game message
83	Feliz Ano Novo!	З Новим Роком!	明けましておめでとうございます。	새해 복 많이 받으세요!	新年快乐！	新年快樂！	UI
84	Feliz Natal!	З Різдвом!	メリークリスマス！	메리 크리스마스!	圣诞快乐！	聖誕快樂！	UI
85	A misteriosa empresa <compppp> sofre pesadas perdas. O que acontecera em seguida ?	Загадкова компанія <compppp> має великі збитки. Що ж коїться?	謎の会社、<compp>社は大きな赤字を出しています。 この先どうなるのでしょう？	알 수 없는 회사 <compppp>에서 크나큰 손실을 겪고 있습니다. 이제 무슨 일이 벌어 질까요?	神秘公司 <compppp> 损失惨重。接下来会发生什么？	神秘公司 <compppp> 損失慘重。接下來會發生什麼事？	News
86	A misteriosa empresa <compppp> declarou falencia. Estendemos nossas condolencias a todos os acionistas.	Загадкова компанія <compppp> визнана банкротом. Співчуваємо усім акціонерам.	謎の会社、<compppp>社が破産宣告を受けました。株主の皆様にお見舞い申し上げます。	알 수 없는 회사 <compppp>에서 파산을 선언했습니다. 모든 주주 여러분께 심심한 유감을 전합니다.	神秘公司 <compppp> 已宣布破产。我们对所有股东深表同情。	神秘公司 <compppp> 已宣布破產。我們對所有股東深表同情。	News
87	Escandalo	Скандал	スキャンダル	스캔들	丑闻	醜聞	UI
88	Estranhos rumores na empresa <scandal> levaram a uma mudanca brusca no preco das acoes.	Дивні чутки в компанії <scandal> привели до різкої зміни курсу акцій.	会社の<scandal>に関する奇妙な噂が流れ、 株価が急変しました。	<scandal>에 관련된 스캔들이 퍼지면서 주가가 급변할 것으로 예상됩니다.	<scandal> 的奇怪传言导致股价急剧变化。	<scandal> 的奇怪傳言導致股價急劇變化。	News
89	Relatorio mensal	Звіт за місяць	月次報告	월간 보고서	月度报告	月度報告	UI
90	Impostos pagos:	Податки сплачені:	納税額：	세금 납부:	纳税：	納稅：	UI
91	Dividas pagas:	Борг сплачений:	債務返済額：	부채 상환:	还债：	還債：	UI
92	Viva!	Ура!	やった！	만세!	喜报！	喜報！	UI
93	Total:	"Всього: "	合計：	총계:	总计：	總計：	UI
94	Relatorio de Dividendos	Звіт про дивіденди	配当金報告	배당금 보고서	股息报告	股息報告	UI
95	Voce tem um serio problema de saude! Nos te colocaremos em um hospital ate voce estar totalmente recuperado.	У вас серйозні проблеми із здоров'ям! Ми поміщаємо вас в стаціонар до повного одужання.	あなたは深刻な健康問題を抱えています！完治するまで入院してもらいます。	건강 상태가 심각합니다! 완전히 회복될 때까지 병원에 입원해야 합니다.	您有严重的健康问题！我们会把您送进医院，直到您完全康复。	您有嚴重的健康問題！我們會把您送進醫院，直到您完全康復。	Doctor message
96	Voce esta sob muito estresse e pressao ultimamente. Se voce continuar a viver sob estresse, isso inevitavelmente te levara a problemas de saude.	Останнім часом ви надто багато перенапружуєтеся і нервуєте. Якщо ви і далі продовжите жити в стресі це неминуче приведе до проблем із здоров'ям.	最近ストレスとプレッシャーが多すぎます。このままストレスを抱えた生活を続ければ、健康を害するのは必至です。	최근 지나친 스트레스와 압박을 받고 계신 것 같습니다. 계속 스트레스를 받는다면 결국 건강이 악화되고 말 것입니다.	您最近压力太大。如果您继续生活在压力之下，将不可避免地导致健康问题。	您最近壓力太大。如果您繼續生活在壓力之下，將不可避免地導致健康問題。	Doctor message
97	Nos percebemos transacoes suspeitas em sua conta. Apos a revisao, a origem ilegal dos fundos recebidos foi confirmada.##Penalidade -	Ми помітили підозрілі транзакції на вашому рахунку. Після перевірки підтвердилося нелегальне джерело отриманих коштів.##Штраф -	あなたの口座で不審な取引を確認しました。調査の結果、不正な資金の流入が確認されました。	계좌에 수상한 돈이 이체되었습니다. 조사 결과 이 자금의 출처는 불법적인 것으로 나타났습니다.##페널티 -	我们发现您的账户有可疑交易。经审查，已确认所收资金的非法来源。##惩罚——	我們發現您的帳戶有可疑交易。經審查，已確認所收資金的非法來源。##懲罰——	In-game message
98	O governo decidiu alterar a taxa de imposto de renda. Agora e igual a <nalogtext>%.	Уряд вирішив змінити ставку податку на доходи. Тепер вона складає <nalogtext>%.	政府は所得税の税率変更を決定しました。所得税は<nalogtext>%になりました。	정부에서 소득세율을 <nalogtext>%로 변경하기로 결정했습니다.	政府决定改变所得税税率。现在为 <nalogtext>%。	政府決定改變所得稅稅率。現在為 <nalogtext>%。	News
99	Voce sera multado por estacionar no local errado - {shtraf}.	Штраф за стоянку в недозволеному місці - {shtraf}.	駐車違反で罰金が科されます - {shtraf}。	불법 주정차 벌금이 부과되었습니다. - {shtraf}	您因违章停车而被罚款——{shtraf}。	您因違章停車而被罰款——{shtraf}。	In-game message
100	Mas noticias	Погані новини	残念なお知らせ	나쁜 소식	坏消息	壞消息	UI
101	Sua carteira foi roubada. E uma coisa boa que nao havia muito dinheiro - {shtraf}.	У вас вкрали гаманець. На щастя, там було не так вже багато - {shtraf}.	財布が盗まれました。財布の中に大金が入っていなくて幸いでした - {shtraf}。	지갑을 소매치기 당했습니다. 그나마 현금이 별로 없었다는 게 다행이군요. - {shtraf}	您的钱包被偷了。还好没那么多钱——{shtraf}。	您的錢包被偷了。還好沒那麼多錢——{shtraf}。	In-game message
102	Chamada telefonica	Телефонний дзвінок	電話	전화	电话	電話	UI
103	Nos oferecemos a voce a venda de nossas acoes a um preco com desconto. Queremos faze-lo sem barulho, para nao causar medos em parte dos investidores.#Nos oferecemos a voce <colich> acoes por {cena2} (preco na bolsa de valores: {cena1}).#Voce esta pronto para vir e assinar todos os papeis necessarios?	У нас є пропозиція передати вам пакет наших акцій за зниженою ціною. Ми хочемо це зробити без галасу, щоб не викликати побоювань з боку інвесторів.#Пропонуємо вам <colich> акцій за {cena2} (ціна на біржі: {cena1}).#Ви готові приїхати до нас для підписання усіх необхідних паперів?	当社の株を割引価格でお譲りします。投資家の皆様に不安を招かないよう、このことは内々に進めたいと考えています。#<colich>株を{cena2}（証券取引所での価格：{cena1}）でご提供します。#必要書類にご署名いただくために、弊社までお越しいただけますか？	귀하께 주식 할인 발행을 제안드리고자 합니다. 하지만 투자자들의 우려를 사지 않고자 조용히 진행하고 싶습니다.#<colich>주를 {cena2}에 제공하고자 합니다. (현 주가: {cena1})#계약서를 쓰시겠습니까?	我们愿意以折扣价向您提供我们的股份。我们希望不要大张旗鼓，以免引起投资者的恐慌。#我们以 {cena2} 的价格向您提供 <colich> 股票（证券交易所价格：{cena1}）。#您准备好签署所有必要文件了吗？	我們願意以折扣價向您提供我們的股份。我們希望不要大張旗鼓，以免引起投資者的恐慌。#我們以 {cena2} 的價格向您提供 <colich> 股票（證券交易所價格：{cena1}）。#您準備好簽署所有必要文件了嗎？	a call from a partner
104	Mamae	Мама	お母さん	엄마	妈妈	媽媽	UI
105	Se o problema puder ser resolvido, nao ha necessidade de se preocupar com isso; Se nao puder ser resolvido, e inutil se preocupar com isso.	Якщо проблему можна розв'язати, то не варто про неї турбуватися, а якщо її вирішити не можна, то турбуватися про неї марно.	解決できる問題なら悩む必要はないし、 解決できないなら悩むだけ無駄です。	해결할 수 있는 문제라면 걱정할 필요가 없고, 해결할 수 없는 문제 역시 걱정할 필요가 없다.	如果问题能解决，就不必担心；如果不能解决，担心也没用。	如果問題能解決，就不必擔心；如果不能解決，擔心也沒用。	Random phone call message
106	Um vizinho ligou e pediu para que eu mantenha o som das teclas do meu teclado baixo durante a noite.	Дзвонив сусід, просив тихіше клацати клавішами щоночі.	近所の人から電話があって「夜はキーボードのカタカタ音をもっと静かにしてほしい」と言われました。	이웃집에서 밤중에 키보드 좀 조용히 쳐 달라고 부탁했습니다.	一位邻居打电话来，让您晚上不要大声敲击键盘。	一位鄰居打電話來，讓您晚上不要大聲敲擊鍵盤。	In-game message
107	Chamada anonima	Анонімний дзвінок	匿名の電話	익명의 전화	匿名电话	匿名電話	UI
108	Pesquisa anonima	Анонімне опитування	匿名のアンケート	익명의 조사	匿名调查	匿名調查	UI
109	Por que temos sapatos esquerdo e direito, mas sem meias esquerda e direita?	Чому у нас є лівий і правий черевик, але немає лівої і правої шкарпетки?	靴には左右があるのに、靴下には左右がないのはなぜだと思う？	신발은 오른발 왼발이 따로 있는데 왼발은 왜 오른발 왼발이 따로 없는 걸까?	为什么鞋分左右，袜子却不分？	為什麼鞋分左右，襪子卻不分？	Phrases from a friend on the phone
110	Show	Концерт	コンサート	콘서트	音乐会	音樂會	UI
111	Voce teve um otimo momento no show do seu cantor pop favorito.	Ви дуже добре відпочили на концерті улюбленою поп-виконавиці.	お気に入りのポップ歌手のコンサートでとびっきり楽しい時間を過ごしました。	좋아하는 가수의 콘서트를 재미있게 즐겼습니다.	您在最喜欢的流行歌手的演唱会上度过了一段美好时光。	您在最喜歡的流行歌手的演唱會上度過了一段美好時光。	In-game message
112	Uau!	Отакої!	うわぁぁ！	와!	哇！	哇！	Ui
113	Voce ganhou na loteria!	Ви виграли в лотереї !	宝くじが当たりました！	복권에 당첨됐습니다!	您中奖了！	您中獎了！	In-game message
114	Carta	Лист	手紙	편지	信件	信件	UI
115	Seu parente distante morreu. De acordo com a vontade dele, voce recebeu {shtraf}.	У вас помер далекий родич. Згідно заповіту ви отримали {shtraf}.	遠い親戚が亡くなりました。遺言により、あなたは{shtraf}を受け取ります。	먼 친척이 세상을 떠났다고 합니다. 유언장에 따라 {shtraf}을 상속받았습니다.	您的远房亲戚去世了。根据他的遗嘱，您将获得 {shtraf}。	您的遠房親戚去世了。根據他的遺囑，您將獲得 {shtraf}。	In-game message from letter
116	Lamentamos informa-lo de que seu tio faleceu. Ele deixou a voce {shtraf}.	Зі скорботою повідомляємо, що у вас помер дядько. Він заповідав вам {shtraf}.	残念ながら、あなたの叔父が亡くなりました。あなたに {shtraf}が遺贈されました。	삼촌이 세상을 떠났다는 유감스러운 소식입니다. {shtraf}의 유산을 남겨 주셨습니다.	我们遗憾地通知您，您的叔叔去世了。他为您留下了 {shtraf}。	我們遺憾地通知您，您的叔叔去世了。他為您留下了 {shtraf}。	In-game message from letter
117	Lamentamos informa-lo de que seu bisavo faleceu. De acordo com a vontade dele, voce recebera {shtraf}.	Зі скорботою повідомляємо, що у вас помер прапрадідусь. Згідно із заповітом, ви отримуєте {shtraf}.	残念ながら、あなたの曾祖父が亡くなりました。遺言により、 あなたは{shtraf}を受け取ります。	증조부께서 세상을 떠났다는 유감스러운 소식입니다. {shtraf}의 유산을 남겨 주셨습니다.	我们遗憾地通知您，您的曾祖父去世了。根据他的遗嘱，您将获得 {shtraf}。	我們遺憾地通知您，您的曾祖父去世了。根據他的遺囑，您將獲得 {shtraf}。	In-game message from letter
